lat, long
32.795896,-116.976156
37.199289,-80.401173
34.113379745077,-117.52950815844
41.423584,-82.088115
34.699161,-118.236662
44.91621,-93.205405
28.431984,-81.422252
42.013724,-71.23175
29.192937,-81.062283
40.513257,-111.890159
37.695408,-121.923226
42.957538,-73.789455
38.68013543552006,-123.42865418252563
33.905092,-118.017509
40.592434,-73.584292
31.644868,-84.246305
21.965581,-159.357212
42.090558,-90.153732
38.971695,-77.38606
33.7905659,-84.2876768
45.53592,-122.901371
42.172273,-72.579497
37.447262,-122.15682
37.484821,-122.175364
42.347916,-71.62988
41.310139,-73.905002
40.179476,-118.472135
37.635682,-122.401335
38.994813,-77.023436
34.049425,-118.308903
39.008327,-94.531104
33.851221,-116.550924
40.943074,-73.741147
44.778637,-93.538775
39.82286,-82.93778
47.847481,-122.261384
39.079619,-94.583971
40.349339,-74.069774
38.942562,-121.09592
38.849724,-77.050316
43.023734,-108.390441
37.487019,-122.227335
47.6156458,-122.3350555
34.05976,-118.41388
39.206494,-76.862334
45.560147,-122.692994
41.394446,-73.492801
37.42645,-120.785863
42.365505,-71.026405
39.765701,-104.986255
41.356748,-81.682088
38.913303,-120.003678
33.435177,-86.731241
40.51337,-74.25137
35.367803,-119.052997
40.06837,-82.751526
33.789347,-117.889793
35.802473,-78.487298
34.046787,-118.255176
33.652634,-117.742516
34.142589,-118.359224
46.195469,-119.265621
38.903977,-77.034947
38.965183,-92.36455
43.47211,-70.51253
21.299188,-157.832312
39.675265,-104.8091759
41.784824,-69.993539
30.291332,-97.826267
39.053019,-77.112404
31.078549,-97.692745
38.007831,-122.546414
47.614345,-122.200772
44.2487722067377,-86.3203633025448
29.756928,-95.37386
33.993967,-81.057112
26.207888,-80.15066
21.38583,-157.950293
44.92569,-123.00229
26.169602,-80.254558
36.008327,-78.937789
40.454174,-80.19061
42.607437,-73.85094
37.067303,-94.40561
32.659824,-117.074666
43.607105,-70.30845
46.994236,-120.549197
43.984518,-72.123057
41.38174,-70.67338
21.525851,-158.03779
38.488966,-122.450642
33.641912,-117.857328
37.645279,-122.063315
37.632609,-122.050932
25.80622,-80.337826
33.786456,-117.850357
37.481337,-122.156896
39.646576,-84.1501105
40.04347,-75.36614
45.236423,-93.447238
37.182235,-93.260373
41.667887,-70.292806
36.162028,-81.878557
39.08046,-94.581445
37.302921,-121.765427
43.112972,-77.485756
39.289496,-76.613588
33.841727,-79.051177
